Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,City,Postal Code
176679,Apple Airpods Headphones,1,150,04/16/19 11:12,245 West St, Boston, MA 02215
176680,USB-C Charging Cable,1,11.95,04/13/19 11:28,368 Main St, Los Angeles, CA 90001
176681,Apple Airpods Headphones,1,150,04/20/19 10:39,331 Cherry St, Seattle, WA 98101
176681,ThinkPad Laptop,1,999.99,04/20/19 10:39,331 Cherry St, Seattle, WA 98101
176682,Lightning Charging Cable,1,14.95,04/27/19 06:19,593 Adams St, Boston, MA 02215
176683,AA Batteries (4-pack),1,3.84,04/03/2019 13:54,253 Willow St, Los Angeles, CA 90001
176684,USB-C Charging Cable,1,11.95,04/17/19 00:51,293 Washington St, Los Angeles, CA 90001
176685,34in Ultrawide Monitor,1,379.99,04/23/19 22:53,114 10th St, New York City, NY 10001
176686,Wired Headphones,1,11.99,04/17/19 15:17,892 10th St, Austin, TX 73301
176687,Macbook Pro Laptop,1,1700,04/30/19 10:26,121 Wilson St, Los Angeles, CA 90001
176688,Flatscreen TV,1,300,04/20/19 18:25,229 Church St, San Francisco, CA 94016
176689,Bose SoundSport Headphones,1,99.99,04/24/19 17:15,659 Lincoln St, New York City, NY 10001
176689,AAA Batteries (4-pack),2,2.99,04/24/19 17:15,659 Lincoln St, New York City, NY 10001
176690,20in Monitor,1,109.99,04/04/2019 18:33,873 Sunset St, San Francisco, CA 94016
176691,AAA Batteries (4-pack),1,2.99,04/12/2019 11:57,991 Lincoln St, Los Angeles, CA 90001
176692,Wired Headphones,1,11.99,04/08/2019 18:21,290 Forest St, San Francisco, CA 94016
176693,AA Batteries (4-pack),1,3.84,04/22/19 09:00,252 Walnut St, San Francisco, CA 94016
176694,USB-C Charging Cable,1,11.95,04/05/2019 20:46,985 Washington St, Atlanta, GA 30301
176695,AA Batteries (4-pack),2,3.84,04/12/2019 20:50,709 Lake St, Seattle, WA 98101
176696,iPhone,1,700,04/07/2019 12:41,343 Johnson St, New York City, NY 10001
176697,Wired Headphones,1,11.99,04/20/19 22:38,675 Center St, New York City, NY 10001
176698,Bose SoundSport Headphones,1,99.99,04/02/2019 16:15,232 Lakeview St, San Francisco, CA 94016
176699,Bose SoundSport Headphones,1,99.99,04/28/19 18:04,49 Jefferson St, Boston, MA 02215
176700,34in Ultrawide Monitor,1,379.99,04/07/2019 23:10,967 Walnut St, Dallas, TX 75001
176701,USB-C Charging Cable,1,11.95,04/11/2019 13:05,128 Church St, Austin, TX 73301
176702,AA Batteries (4-pack),1,3.84,04/23/19 19:44,896 Sunset St, Seattle, WA 98101
176703,20in Monitor,1,109.99,04/17/19 10:00,748 Washington St, New York City, NY 10001
176704,AA Batteries (4-pack),2,3.84,04/17/19 10:00,909 Center St, Seattle, WA 98101
176705,Lightning Charging Cable,2,14.95,04/06/2019 09:38,503 8th St, Austin, TX 73301
176706,Lightning Charging Cable,1,14.95,04/13/19 13:32,309 South St, New York City, NY 10001
176707,Apple Airpods Headphones,1,150,04/13/19 10:34,408 Center St, Portland, OR 97035
176708,Wired Headphones,1,11.99,04/28/19 23:03,542 Ridge St, New York City, NY 10001
176709,AA Batteries (4-pack),1,3.84,04/24/19 14:17,971 Church St, Dallas, TX 75001
176710,20in Monitor,2,109.99,04/07/2019 10:00,848 West St, Dallas, TX 75001
176711,Flatscreen TV,1,300,04/30/19 10:58,796 River St, Dallas, TX 75001
176712,Google Phone,1,600,04/20/19 05:21,910 Washington St, San Francisco, CA 94016
176713,Wired Headphones,1,11.99,04/21/19 10:48,498 Walnut St, San Francisco, CA 94016
176714,USB-C Charging Cable,1,11.95,04/26/19 23:34,303 Spruce St, Los Angeles, CA 90001
176715,Apple Airpods Headphones,1,150,04/27/19 16:43,258 Jefferson St, San Francisco, CA 94016
176716,Wired Headphones,1,11.99,04/24/19 14:43,794 7th St, Los Angeles, CA 90001
176717,Apple Airpods Headphones,1,150,04/19/19 10:34,490 Lakeview St, Atlanta, GA 30301
176718,Lightning Charging Cable,1,14.95,04/22/19 19:14,672 Sunset St, Los Angeles, CA 90001
176719,Flatscreen TV,1,300,04/27/19 13:07,602 Hickory St, Boston, MA 02215
176720,Lightning Charging Cable,1,14.95,04/21/19 10:35,556 South St, Portland, OR 97035
176721,AAA Batteries (4-pack),1,2.99,04/26/19 21:08,469 7th St, San Francisco, CA 94016
176722,27in 4K Gaming Monitor,1,389.99,04/01/2019 10:57,209 14th St, New York City, NY 10001
176723,27in 4K Gaming Monitor,1,389.99,04/19/19 21:31,613 12th St, Portland, OR 97035
176724,Lightning Charging Cable,1,14.95,04/26/19 20:59,34 12th St, San Francisco, CA 94016
176725,AA Batteries (4-pack),2,3.84,04/15/19 14:33,630 14th St, San Francisco, CA 94016
176726,USB-C Charging Cable,1,11.95,04/13/19 18:14,979 8th St, Los Angeles, CA 90001
176727,Lightning Charging Cable,1,14.95,04/14/19 14:26,218 Hickory St, Los Angeles, CA 90001
176728,Lightning Charging Cable,1,14.95,04/21/19 07:38,516 Park St, Atlanta, GA 30301
176729,USB-C Charging Cable,1,11.95,04/24/19 09:57,637 9th St, Seattle, WA 98101
176730,Bose SoundSport Headphones,1,99.99,04/17/19 08:27,403 Ridge St, New York City, NY 10001
176731,AAA Batteries (4-pack),2,2.99,04/21/19 16:17,36 Lincoln St, San Francisco, CA 94016
176732,iPhone,1,700,04/23/19 09:33,504 Wilson St, Dallas, TX 75001
176733,20in Monitor,1,109.99,04/11/2019 13:31,575 Hickory St, San Francisco, CA 94016
176734,Apple Airpods Headphones,1,150,04/03/2019 22:13,611 Jackson St, New York City, NY 10001
176735,27in FHD Monitor,1,149.99,04/16/19 23:52,802 Ridge St, Austin, TX 73301
176736,AA Batteries (4-pack),1,3.84,04/17/19 11:48,421 2nd St, Los Angeles, CA 90001
176737,Apple Airpods Headphones,1,150,04/07/2019 01:28,109 Center St, Los Angeles, CA 90001
176738,AA Batteries (4-pack),1,3.84,04/03/2019 13:17,661 Center St, San Francisco, CA 94016
176739,34in Ultrawide Monitor,1,379.99,04/05/2019 17:38,730 6th St, Austin, TX 73301
176739,Google Phone,1,600,04/05/2019 17:38,730 6th St, Austin, TX 73301
176740,Bose SoundSport Headphones,1,99.99,04/24/19 15:10,699 Washington St, Dallas, TX 75001
176741,USB-C Charging Cable,1,11.95,04/29/19 18:49,990 Ridge St, San Francisco, CA 94016
176742,Wired Headphones,1,11.99,04/17/19 09:54,115 Forest St, Los Angeles, CA 90001
176743,27in 4K Gaming Monitor,1,389.99,04/01/2019 09:17,570 11th St, Atlanta, GA 30301
176744,Lightning Charging Cable,1,14.95,04/14/19 19:59,937 Maple St, Los Angeles, CA 90001
176745,Wired Headphones,1,11.99,04/24/19 09:23,461 Adams St, Los Angeles, CA 90001
176746,27in 4K Gaming Monitor,1,389.99,04/08/2019 19:04,638 Park St, Seattle, WA 98101
176747,Macbook Pro Laptop,1,1700,04/27/19 15:04,645 7th St, San Francisco, CA 94016
176748,Flatscreen TV,1,300,04/24/19 15:28,339 13th St, Boston, MA 02215
176749,ThinkPad Laptop,1,999.99,04/26/19 07:55,322 Adams St, Seattle, WA 98101
176750,AA Batteries (4-pack),1,3.84,04/13/19 23:52,255 Cedar St, Austin, TX 73301
176751,AAA Batteries (4-pack),1,2.99,04/18/19 13:01,258 4th St, San Francisco, CA 94016
176752,AA Batteries (4-pack),1,3.84,04/13/19 23:59,665 Wilson St, San Francisco, CA 94016
176753,USB-C Charging Cable,1,11.95,04/01/2019 23:07,496 Adams St, Atlanta, GA 30301
176754,34in Ultrawide Monitor,1,379.99,04/02/2019 17:07,288 Forest St, Los Angeles, CA 90001
176755,27in 4K Gaming Monitor,1,389.99,04/09/2019 16:21,825 Madison St, Seattle, WA 98101
176756,27in FHD Monitor,1,149.99,04/05/2019 17:06,348 Lake St, New York City, NY 10001
176757,AA Batteries (4-pack),1,3.84,04/11/2019 20:28,79 Hickory St, Portland, OR 97035
176758,34in Ultrawide Monitor,1,379.99,04/18/19 21:26,166 Highland St, San Francisco, CA 94016
176759,Lightning Charging Cable,1,14.95,04/06/2019 12:46,864 Main St, Los Angeles, CA 90001
176760,Wired Headphones,1,11.99,04/02/2019 20:32,813 Highland St, San Francisco, CA 94016
176761,Apple Airpods Headphones,1,150,04/26/19 20:00,830 2nd St, San Francisco, CA 94016
176762,AA Batteries (4-pack),1,3.84,04/18/19 14:06,977 1st St, Seattle, WA 98101
176763,USB-C Charging Cable,1,11.95,04/25/19 13:36,638 Johnson St, San Francisco, CA 94016
176764,Wired Headphones,1,11.99,04/16/19 19:52,652 Center St, Atlanta, GA 30301
176765,USB-C Charging Cable,1,11.95,04/14/19 20:44,729 Ridge St, San Francisco, CA 94016
176766,AA Batteries (4-pack),2,3.84,04/21/19 19:52,84 Johnson St, Boston, MA 02215
176767,27in 4K Gaming Monitor,1,389.99,04/09/2019 14:18,205 4th St, Atlanta, GA 30301
176768,Wired Headphones,1,11.99,04/04/2019 00:03,643 Spruce St, Los Angeles, CA 90001
176769,AA Batteries (4-pack),1,3.84,04/29/19 14:14,206 10th St, San Francisco, CA 94016
176770,Wired Headphones,1,11.99,04/08/2019 17:38,345 Church St, San Francisco, CA 94016
176771,Lightning Charging Cable,1,14.95,04/24/19 17:40,403 11th St, New York City, NY 10001
176772,AA Batteries (4-pack),1,3.84,04/10/2019 21:48,426 14th St, New York City, NY 10001
176773,AAA Batteries (4-pack),2,2.99,04/25/19 20:07,30 9th St, Portland, ME 04101
176774,Lightning Charging Cable,1,14.95,04/25/19 15:06,372 Church St, Los Angeles, CA 90001
176774,USB-C Charging Cable,1,11.95,04/25/19 15:06,372 Church St, Los Angeles, CA 90001
176775,USB-C Charging Cable,2,11.95,04/01/2019 20:56,975 Forest St, San Francisco, CA 94016
176776,Bose SoundSport Headphones,1,99.99,04/24/19 23:28,613 Washington St, Seattle, WA 98101
176777,Apple Airpods Headphones,1,150,04/14/19 16:53,163 Jackson St, Portland, OR 97035
176778,34in Ultrawide Monitor,1,379.99,04/12/2019 17:46,201 Madison St, San Francisco, CA 94016
176779,27in FHD Monitor,1,149.99,04/04/2019 16:46,351 Park St, Atlanta, GA 30301
176780,Lightning Charging Cable,1,14.95,04/18/19 23:51,52 Walnut St, New York City, NY 10001
176781,iPhone,1,700,04/03/2019 07:37,976 Hickory St, Dallas, TX 75001
176781,Lightning Charging Cable,1,14.95,04/03/2019 07:37,976 Hickory St, Dallas, TX 75001
176782,Apple Airpods Headphones,1,150,04/22/19 13:42,993 13th St, San Francisco, CA 94016
176783,Apple Airpods Headphones,1,150,04/05/2019 11:40,926 North St, San Francisco, CA 94016
176784,AAA Batteries (4-pack),1,2.99,04/08/2019 10:14,725 Madison St, Los Angeles, CA 90001
176785,Bose SoundSport Headphones,1,99.99,04/03/2019 15:39,533 Ridge St, Los Angeles, CA 90001
176786,20in Monitor,1,109.99,04/06/2019 16:40,701 North St, San Francisco, CA 94016
176787,Google Phone,1,600,04/14/19 10:10,180 Pine St, Los Angeles, CA 90001
176788,Bose SoundSport Headphones,1,99.99,04/15/19 04:39,200 North St, New York City, NY 10001
176789,Lightning Charging Cable,1,14.95,04/21/19 20:15,990 Meadow St, San Francisco, CA 94016
176790,AAA Batteries (4-pack),1,2.99,04/28/19 12:07,689 9th St, Austin, TX 73301
176791,Google Phone,1,600,04/21/19 11:43,908 Jackson St, Los Angeles, CA 90001
176792,27in 4K Gaming Monitor,1,389.99,04/30/19 19:29,772 11th St, Atlanta, GA 30301
176793,Wired Headphones,1,11.99,04/17/19 17:09,147 South St, San Francisco, CA 94016
176794,Lightning Charging Cable,1,14.95,04/10/2019 21:40,425 Adams St, Dallas, TX 75001
176795,Wired Headphones,1,11.99,04/13/19 11:46,360 Center St, San Francisco, CA 94016
176796,Bose SoundSport Headphones,1,99.99,04/07/2019 08:44,5 2nd St, Los Angeles, CA 90001
176797,Google Phone,1,600,04/21/19 08:54,923 Elm St, Los Angeles, CA 90001
176797,Bose SoundSport Headphones,1,99.99,04/21/19 08:54,923 Elm St, Los Angeles, CA 90001
176797,Wired Headphones,1,11.99,04/21/19 08:54,923 Elm St, Los Angeles, CA 90001
176798,iPhone,1,700,04/06/2019 10:31,445 Jefferson St, Atlanta, GA 30301
176799,Wired Headphones,1,11.99,04/03/2019 14:24,452 Spruce St, Portland, OR 97035
176800,Lightning Charging Cable,1,14.95,04/09/2019 11:35,766 West St, Atlanta, GA 30301
176801,Vareebadd Phone,1,400,04/28/19 18:52,125 North St, San Francisco, CA 94016
176802,AA Batteries (4-pack),1,3.84,04/29/19 17:33,627 12th St, Boston, MA 02215
176803,AA Batteries (4-pack),1,3.84,04/01/2019 23:00,649 7th St, Austin, TX 73301
176804,Bose SoundSport Headphones,1,99.99,04/21/19 21:56,690 Walnut St, Seattle, WA 98101
176805,Google Phone,1,600,04/01/2019 15:50,91 Lincoln St, Portland, OR 97035
176805,USB-C Charging Cable,1,11.95,04/01/2019 15:50,91 Lincoln St, Portland, OR 97035
176806,Macbook Pro Laptop,1,1700,04/22/19 13:26,197 Cherry St, Austin, TX 73301
176807,USB-C Charging Cable,1,11.95,04/21/19 17:13,758 Hill St, Seattle, WA 98101
176808,Google Phone,1,600,04/28/19 18:03,933 Meadow St, San Francisco, CA 94016
176808,Wired Headphones,1,11.99,04/28/19 18:03,933 Meadow St, San Francisco, CA 94016
176809,Bose SoundSport Headphones,2,99.99,04/19/19 01:14,278 13th St, San Francisco, CA 94016
176810,AAA Batteries (4-pack),1,2.99,04/30/19 14:57,86 Meadow St, Atlanta, GA 30301
176811,AA Batteries (4-pack),2,3.84,04/14/19 23:02,456 13th St, Dallas, TX 75001
176812,Wired Headphones,1,11.99,04/20/19 16:40,569 Willow St, New York City, NY 10001
176813,Google Phone,1,600,04/28/19 18:01,269 Hill St, Atlanta, GA 30301
176813,Wired Headphones,1,11.99,04/28/19 18:01,269 Hill St, Atlanta, GA 30301
176814,Lightning Charging Cable,1,14.95,04/09/2019 12:09,501 13th St, New York City, NY 10001
176815,AAA Batteries (4-pack),1,2.99,04/04/2019 13:36,327 Adams St, San Francisco, CA 94016
176816,27in 4K Gaming Monitor,1,389.99,04/19/19 20:14,623 Lincoln St, Portland, OR 97035
176817,Lightning Charging Cable,1,14.95,04/26/19 20:47,284 Walnut St, Seattle, WA 98101
176818,Wired Headphones,1,11.99,04/09/2019 02:19,642 13th St, San Francisco, CA 94016
176819,AA Batteries (4-pack),2,3.84,04/15/19 05:44,615 9th St, Portland, OR 97035
176820,USB-C Charging Cable,1,11.95,04/17/19 12:10,654 Adams St, Boston, MA 02215
176821,34in Ultrawide Monitor,1,379.99,04/18/19 15:08,72 Meadow St, San Francisco, CA 94016
176822,AAA Batteries (4-pack),1,2.99,04/22/19 19:50,40 Cedar St, Seattle, WA 98101
176823,Wired Headphones,1,11.99,04/06/2019 20:18,893 11th St, Seattle, WA 98101
176824,USB-C Charging Cable,2,11.95,04/03/2019 13:01,983 Center St, Los Angeles, CA 90001
176825,LG Washing Machine,1,600,04/13/19 22:31,338 6th St, San Francisco, CA 94016
176826,Bose SoundSport Headphones,1,99.99,04/11/2019 00:15,72 Meadow St, San Francisco, CA 94016
176827,AAA Batteries (4-pack),1,2.99,04/20/19 13:36,465 Hickory St, Los Angeles, CA 90001
176828,iPhone,1,700,04/07/2019 22:13,696 Highland St, Seattle, WA 98101
176829,Wired Headphones,1,11.99,04/30/19 09:09,335 Wilson St, San Francisco, CA 94016
176830,Wired Headphones,1,11.99,04/18/19 12:02,663 5th St, Austin, TX 73301
176831,USB-C Charging Cable,1,11.95,04/01/2019 07:39,743 Spruce St, San Francisco, CA 94016
176832,Apple Airpods Headphones,1,150,04/19/19 20:21,533 Spruce St, Los Angeles, CA 90001
